Ensembl.Protein.ID	Cow.Ensembl.Protein.or.Transcript.ID	Chicken.Ensembl.Protein.or.Transcript.ID	Human.Ensembl.Protein.or.Transcript.ID	Macaque.Ensembl.Protein.or.Transcript.ID	Mouse.Ensembl.Protein.or.Transcript.ID	Chimpanzee.Ensembl.Protein.or.Transcript.ID	Rat.Ensembl.Protein.or.Transcript.ID	Xenopus.Ensembl.Protein.or.Transcript.ID
ENSGGOP00000002991			ENSP00000334644			ENSPTRP00000002238		
ENSGGOP00000020402			ENSP00000447679	ENSMMUP00000057889	ENSMUSP00000127027	ENSPTRP00000060324	ENSRNOP00000065106	
ENSGGOP00000009262	ENSBTAP00000021755		ENSP00000465617	ENSMMUP00000050252	ENSMUSP00000060275			ENSXETP00000058523
ENSGGOP00000013650			ENSP00000357778	ENSMMUP00000046261		ENSPTRP00000002236		
ENSGGOP00000024280								
ENSGGOP00000023412								
ENSGGOP00000028391			ENSP00000455444	ENSMMUP00000050329	ENSMUSP00000138827		ENSRNOP00000069940	
ENSGGOP00000017330								
ENSGGOP00000017791	ENSBTAP00000012945	ENSGALP00000016189		ENSMMUP00000040363	ENSMUSP00000006565		ENSRNOP00000037772	ENSXETP00000008405
								
ENSGGOP00000012771	ENSBTAP00000015319	ENSGALP00000052678	ENSP00000382234		ENSMUSP00000113086	ENSPTRP00000042605	ENSRNOP00000057946	
ENSGGOP00000011895								
ENSGGOP00000020598	ENSBTAP00000055165		ENSP00000301200	ENSMMUP00000047480	ENSMUSP00000092508	ENSPTRP00000048494	ENSRNOP00000025110	
ENSGGOP00000028159		ENSGALP00000057941		ENSMMUP00000002714	ENSMUSP00000029722		ENSRNOP00000016329	ENSXETP00000020709
ENSGGOP00000026001	ENSBTAP00000055716	ENSGALP00000027813	ENSP00000306138	ENSMMUP00000013314	ENSMUSP00000114927	ENSPTRP00000007147	ENSRNOP00000022059	ENSXETP00000025700
ENSGGOP00000025692								
ENSGGOP00000023892	ENSBTAP00000055677		ENSP00000324687		ENSMUSP00000075729	ENSPTRP00000003749	ENSRNOP00000043037	
ENSGGOP00000018160								
ENSGGOP00000001286	ENSBTAP00000053003	ENSGALP00000038735	ENSP00000441543	ENSMMUP00000038412	ENSMUSP00000019649	ENSPTRP00000050925		ENSXETP00000037338
ENSGGOP00000019535				ENSMMUP00000058924				
ENSGGOP00000019839	ENSBTAP00000049676		ENSP00000353516	ENSMMUP00000007359	ENSMUSP00000075034	ENSPTRP00000060211	ENSRNOP00000055299	
ENSGGOP00000025414		ENSGALP00000053296	ENSP00000350248			ENSPTRP00000060200		ENSXETP00000060765
ENSGGOP00000000051	ENSBTAP00000054067	ENSGALP00000052408	ENSP00000341178	ENSMMUP00000059317	ENSMUSP00000068999		ENSRNOP00000036481	
ENSGGOP00000019317	ENSBTAP00000022217	ENSGALP00000048399	ENSP00000322396	ENSMMUP00000001186	ENSMUSP00000071955	ENSPTRP00000053146	ENSRNOP00000009482	
ENSGGOP00000023469					ENSMUSP00000062692		ENSRNOP00000024940	
ENSGGOP00000005559			ENSP00000308908			ENSPTRP00000049179		
ENSGGOP00000019466								
ENSGGOP00000009729						ENSPTRP00000012572		
ENSGGOP00000002256								
ENSGGOP00000021234	ENSBTAP00000012635	ENSGALP00000028012	ENSP00000485401	ENSMMUP00000005620	ENSMUSP00000077744	ENSPTRP00000001203	ENSRNOP00000016751	
ENSGGOP00000020183			ENSP00000386138					ENSXETP00000062428
ENSGGOP00000028333		ENSGALP00000045393			ENSMUSP00000132093			ENSXETP00000026952
ENSGGOP00000021790	ENSBTAP00000052301	ENSGALP00000055404	ENSP00000457715	ENSMMUP00000048960	ENSMUSP00000075601		ENSRNOP00000065258	ENSXETP00000041502
ENSGGOP00000009779		ENSGALP00000053296	ENSP00000355441		ENSMUSP00000063538		ENSRNOP00000048210	ENSXETP00000060765
ENSGGOP00000027516		ENSGALP00000038463						ENSXETP00000010943
ENSGGOP00000010330	ENSBTAP00000023922		ENSP00000485512		ENSMUSP00000055746	ENSPTRP00000036752	ENSRNOP00000066916	ENSXETP00000003086
ENSGGOP00000006419	ENSBTAP00000051853		ENSP00000305640	ENSMMUP00000021257	ENSMUSP00000049454	ENSPTRP00000003736	ENSRNOP00000039235	ENSXETP00000053311
ENSGGOP00000013205	ENSBTAP00000054693	ENSGALP00000045103	ENSP00000341963		ENSMUSP00000101408	ENSPTRP00000055676		
ENSGGOP00000004143			ENSP00000352717	ENSMMUP00000021258	ENSMUSP00000134377	ENSPTRP00000041482	ENSRNOP00000050244	ENSXETP00000055119
ENSGGOP00000001891								
ENSGGOP00000018263		ENSGALP00000041993		ENSMMUP00000009077	ENSMUSP00000079127		ENSRNOP00000039179	ENSXETP00000021590
ENSGGOP00000028033		ENSGALP00000053296						ENSXETP00000060765
ENSGGOP00000012659	ENSBTAP00000042747			ENSMMUP00000059652	ENSMUSP00000100123		ENSRNOP00000071104	ENSXETP00000061544
ENSGGOP00000010478			ENSP00000466907	ENSMMUP00000008912	ENSMUSP00000146921	ENSPTRP00000019808	ENSRNOP00000069116	
ENSGGOP00000027716			ENSP00000375030					ENSXETP00000028742
ENSGGOP00000008485		ENSGALP00000041652			ENSMUSP00000036949		ENSRNOP00000037097	
ENSGGOP00000003156	ENSBTAP00000040034		ENSP00000326301			ENSPTRP00000050956		
ENSGGOP00000001987	ENSBTAP00000014821	ENSGALP00000045156	ENSP00000341677	ENSMMUP00000002899	ENSMUSP00000025727	ENSPTRP00000049479	ENSRNOP00000059116	
ENSGGOP00000028373		ENSGALP00000053235	ENSP00000318635		ENSMUSP00000115044		ENSRNOP00000044856	ENSXETP00000027383
ENSGGOP00000003767	ENSBTAP00000050676		ENSP00000326349			ENSPTRP00000003733		
ENSGGOP00000000243		ENSGALP00000058131	ENSP00000382884	ENSMMUP00000031205		ENSPTRP00000037175		ENSXETP00000047694
ENSGGOP00000013076	ENSBTAP00000017467		ENSP00000333037	ENSMMUP00000028801	ENSMUSP00000048360	ENSPTRP00000026851	ENSRNOP00000038451	
ENSGGOP00000026276	ENSBTAP00000055356		ENSP00000355443	ENSMMUP00000057547		ENSPTRP00000003730		
ENSGGOP00000009676			ENSP00000347635	ENSMMUP00000035590	ENSMUSP00000062074	ENSPTRP00000023822	ENSRNOP00000002137	
ENSGGOP00000023736	ENSBTAP00000016139	ENSGALP00000052622	ENSP00000259569	ENSMMUP00000046176	ENSMUSP00000100503	ENSPTRP00000049481	ENSRNOP00000074790	ENSXETP00000059365
ENSGGOP00000021683						ENSPTRP00000060345		
ENSGGOP00000007398	ENSBTAP00000053449	ENSGALP00000013821	ENSP00000412957		ENSMUSP00000026978		ENSRNOP00000071268	ENSXETP00000035328
ENSGGOP00000003684			ENSP00000346536			ENSPTRP00000023821		
ENSGGOP00000019285	ENSBTAP00000027065	ENSGALP00000006590			ENSMUSP00000028205		ENSRNOP00000068298	ENSXETP00000028050
ENSGGOP00000026806								
ENSGGOP00000025468								
ENSGGOP00000010114	ENSBTAP00000044801		ENSP00000312439	ENSMMUP00000048065	ENSMUSP00000140405	ENSPTRP00000007502	ENSRNOP00000010134	
ENSGGOP00000006318	ENSBTAP00000052927	ENSGALP00000055419	ENSP00000319096	ENSMMUP00000020734	ENSMUSP00000038841	ENSPTRP00000026761	ENSRNOP00000019340	ENSXETP00000016942
ENSGGOP00000006424	ENSBTAP00000006318		ENSP00000372286		ENSMUSP00000129289	ENSPTRP00000060074	ENSRNOP00000067508	
ENSGGOP00000021467		ENSGALP00000045393		ENSMMUP00000035661	ENSMUSP00000132093	ENSPTRP00000000677		ENSXETP00000026952
ENSGGOP00000004925								
ENSGGOP00000017414								
ENSGGOP00000009834	ENSBTAP00000040598		ENSP00000240619		ENSMUSP00000079453	ENSPTRP00000054731	ENSRNOP00000007497	ENSXETP00000004554
ENSGGOP00000003951				ENSMMUP00000050810		ENSPTRP00000051655		
ENSGGOP00000000708			ENSP00000353742	ENSMMUP00000054237	ENSMUSP00000093626	ENSPTRP00000046273	ENSRNOP00000064074	
ENSGGOP00000014646	ENSBTAP00000026223	ENSGALP00000021014	ENSP00000299766	ENSMMUP00000022705	ENSMUSP00000054776	ENSPTRP00000017101	ENSRNOP00000025223	
ENSGGOP00000004750	ENSBTAP00000055230		ENSP00000339238		ENSMUSP00000052005	ENSPTRP00000023820	ENSRNOP00000065645	
ENSGGOP00000025822	ENSBTAP00000012544	ENSGALP00000008802		ENSMMUP00000032948	ENSMUSP00000110610		ENSRNOP00000075627	ENSXETP00000015711
ENSGGOP00000018181		ENSGALP00000052582					ENSRNOP00000069182	ENSXETP00000020851
ENSGGOP00000027929								
ENSGGOP00000027172	ENSBTAP00000038110	ENSGALP00000010150	ENSP00000256001	ENSMMUP00000034516	ENSMUSP00000085578	ENSPTRP00000034079	ENSRNOP00000041576	
ENSGGOP00000023970			ENSP00000240687		ENSMUSP00000063954	ENSPTRP00000008011	ENSRNOP00000007435	ENSXETP00000004554
ENSGGOP00000023641			ENSP00000485076	ENSMMUP00000039181				
ENSGGOP00000017612								
ENSGGOP00000017903								
ENSGGOP00000024365	ENSBTAP00000012544	ENSGALP00000008802		ENSMMUP00000032948	ENSMUSP00000110610		ENSRNOP00000075627	ENSXETP00000015711
ENSGGOP00000024541	ENSBTAP00000023144	ENSGALP00000036145	ENSP00000381034	ENSMMUP00000016558	ENSMUSP00000064929	ENSPTRP00000017168	ENSRNOP00000054982	ENSXETP00000023594
ENSGGOP00000021803								
ENSGGOP00000025390	ENSBTAP00000052626	ENSGALP00000046438					ENSRNOP00000066420	
ENSGGOP00000008782			ENSP00000341821	ENSMMUP00000003085	ENSMUSP00000071179	ENSPTRP00000019570	ENSRNOP00000037328	
ENSGGOP00000007882	ENSBTAP00000050955	ENSGALP00000042371	ENSP00000434024	ENSMMUP00000043228	ENSMUSP00000051432	ENSPTRP00000007487	ENSRNOP00000056469	ENSXETP00000035276
ENSGGOP00000003857			ENSP00000483328			ENSPTRP00000047734		
ENSGGOP00000003972			ENSP00000375267		ENSMUSP00000086157	ENSPTRP00000060541		
ENSGGOP00000020352		ENSGALP00000055478		ENSMMUP00000048320		ENSPTRP00000017019		ENSXETP00000043811
ENSGGOP00000020052	ENSBTAP00000054799		ENSP00000490829	ENSMMUP00000017148	ENSMUSP00000128732		ENSRNOP00000014598	
ENSGGOP00000002326	ENSBTAP00000055433		ENSP00000257013			ENSPTRP00000038410		
ENSGGOP00000008393	ENSBTAP00000000484	ENSGALP00000055661	ENSP00000386357	ENSMMUP00000000255	ENSMUSP00000117263	ENSPTRP00000020782	ENSRNOP00000075837	ENSXETP00000060597
ENSGGOP00000007537		ENSGALP00000041231	ENSP00000297625	ENSMMUP00000054176	ENSMUSP00000059038	ENSPTRP00000035707	ENSRNOP00000033466	ENSXETP00000041508
ENSGGOP00000022059	ENSBTAP00000028955		ENSP00000365465	ENSMMUP00000020574	ENSMUSP00000048596	ENSPTRP00000030625		
ENSGGOP00000005037			ENSP00000375268	ENSMMUP00000029145	ENSMUSP00000086157			
ENSGGOP00000025779								
ENSGGOP00000018712		ENSGALP00000045393			ENSMUSP00000132093		ENSRNOP00000046982	ENSXETP00000026952
ENSGGOP00000006024	ENSBTAP00000012212		ENSP00000318914	ENSMMUP00000006521	ENSMUSP00000060783	ENSPTRP00000011068	ENSRNOP00000014018	ENSXETP00000050115
ENSGGOP00000024374		ENSGALP00000027109	ENSP00000385461	ENSMMUP00000022809		ENSPTRP00000047258		ENSXETP00000038552
ENSGGOP00000018652								
ENSGGOP00000027905								
ENSGGOP00000025244								
ENSGGOP00000018188			ENSP00000400880	ENSMMUP00000050861	ENSMUSP00000073107	ENSPTRP00000061327	ENSRNOP00000070218	ENSXETP00000018089
ENSGGOP00000022937		ENSGALP00000055478	ENSP00000463842	ENSMMUP00000048320				ENSXETP00000043811
ENSGGOP00000018825	ENSBTAP00000052536		ENSP00000303076		ENSMUSP00000146874	ENSPTRP00000048083	ENSRNOP00000064127	ENSXETP00000058691
ENSGGOP00000025804			ENSP00000485570					
ENSGGOP00000009682			ENSP00000333329	ENSMMUP00000050861	ENSMUSP00000073107		ENSRNOP00000070218	ENSXETP00000018089
ENSGGOP00000002303				ENSMMUP00000032014				
ENSGGOP00000025891								
ENSGGOP00000005982	ENSBTAP00000020577	ENSGALP00000019143	ENSP00000326432	ENSMMUP00000030243	ENSMUSP00000038473	ENSPTRP00000051464	ENSRNOP00000029724	
ENSGGOP00000014070	ENSBTAP00000056514	ENSGALP00000004907	ENSP00000328181	ENSMMUP00000007646	ENSMUSP00000061427	ENSPTRP00000016018	ENSRNOP00000030212	ENSXETP00000002825
ENSGGOP00000024999								
ENSGGOP00000017307								
ENSGGOP00000010757				ENSMMUP00000050861	ENSMUSP00000073107		ENSRNOP00000070218	ENSXETP00000018089
ENSGGOP00000015695	ENSBTAP00000000564		ENSP00000468980	ENSMMUP00000045881	ENSMUSP00000108692	ENSPTRP00000047322		ENSXETP00000039326
ENSGGOP00000018899	ENSBTAP00000044384			ENSMMUP00000056835			ENSRNOP00000070365	
ENSGGOP00000026775	ENSBTAP00000020148	ENSGALP00000047847		ENSMMUP00000035515	ENSMUSP00000029515		ENSRNOP00000001672	ENSXETP00000018253
ENSGGOP00000022051								
ENSGGOP00000005077	ENSBTAP00000023031	ENSGALP00000046193	ENSP00000323847	ENSMMUP00000038662	ENSMUSP00000138370	ENSPTRP00000026816	ENSRNOP00000065083	ENSXETP00000019118
ENSGGOP00000027563								
ENSGGOP00000021898	ENSBTAP00000034620	ENSGALP00000037676	ENSP00000334665	ENSMMUP00000041898	ENSMUSP00000026445	ENSPTRP00000052666	ENSRNOP00000051858	ENSXETP00000032887
ENSGGOP00000017924	ENSBTAP00000011436	ENSGALP00000045495			ENSMUSP00000125904		ENSRNOP00000022014	ENSXETP00000018637
ENSGGOP00000015921						ENSPTRP00000030193		
ENSGGOP00000026108	ENSBTAP00000054921		ENSP00000454303	ENSMMUP00000047389	ENSMUSP00000094042		ENSRNOP00000032524	ENSXETP00000058924
ENSGGOP00000011497								
ENSGGOP00000020670	ENSBTAP00000007219	ENSGALP00000004305		ENSMMUP00000034919				ENSXETP00000018465
ENSGGOP00000014404	ENSBTAP00000004005		ENSP00000308354	ENSMMUP00000037004	ENSMUSP00000059302	ENSPTRP00000006676	ENSRNOP00000035812	ENSXETP00000061672
