Ensembl.Protein.ID	Human.Ensembl.Protein.or.Transcript.ID	Chimpanzee.Ensembl.Protein.or.Transcript.ID	Macaque.Ensembl.Protein.or.Transcript.ID	Mouse.Ensembl.Protein.or.Transcript.ID	Rat.Ensembl.Protein.or.Transcript.ID	Cow.Ensembl.Protein.or.Transcript.ID	Chicken.Ensembl.Protein.or.Transcript.ID	Xenopus.Ensembl.Protein.or.Transcript.ID
ENSGGOP00000002991	ENSP00000334644	ENSPTRP00000002238						
ENSGGOP00000020402	ENSP00000447679	ENSPTRP00000060324	ENSMMUP00000057889	ENSMUSP00000127027	ENSRNOP00000065106			
ENSGGOP00000009262	ENSP00000465617		ENSMMUP00000050252	ENSMUSP00000060275		ENSBTAP00000021755		ENSXETP00000058523
ENSGGOP00000013650	ENSP00000357778	ENSPTRP00000002236	ENSMMUP00000046261					
ENSGGOP00000024280								
ENSGGOP00000023412								
ENSGGOP00000028391	ENSP00000455444		ENSMMUP00000050329	ENSMUSP00000138827	ENSRNOP00000069940			
ENSGGOP00000017330								
ENSGGOP00000017791			ENSMMUP00000040363	ENSMUSP00000006565	ENSRNOP00000037772	ENSBTAP00000012945	ENSGALP00000016189	ENSXETP00000008405
								
ENSGGOP00000012771	ENSP00000382234	ENSPTRP00000042605		ENSMUSP00000113086	ENSRNOP00000057946	ENSBTAP00000015319	ENSGALP00000052678	
ENSGGOP00000011895								
ENSGGOP00000020598	ENSP00000301200	ENSPTRP00000048494	ENSMMUP00000047480	ENSMUSP00000092508	ENSRNOP00000025110	ENSBTAP00000055165		
ENSGGOP00000028159			ENSMMUP00000002714	ENSMUSP00000029722	ENSRNOP00000016329		ENSGALP00000057941	ENSXETP00000020709
ENSGGOP00000026001	ENSP00000306138	ENSPTRP00000007147	ENSMMUP00000013314	ENSMUSP00000114927	ENSRNOP00000022059	ENSBTAP00000055716	ENSGALP00000027813	ENSXETP00000025700
ENSGGOP00000025692								
ENSGGOP00000023892	ENSP00000324687	ENSPTRP00000003749		ENSMUSP00000075729	ENSRNOP00000043037	ENSBTAP00000055677		
ENSGGOP00000018160								
ENSGGOP00000001286	ENSP00000441543	ENSPTRP00000050925	ENSMMUP00000038412	ENSMUSP00000019649		ENSBTAP00000053003	ENSGALP00000038735	ENSXETP00000037338
ENSGGOP00000019535			ENSMMUP00000058924					
ENSGGOP00000019839	ENSP00000353516	ENSPTRP00000060211	ENSMMUP00000007359	ENSMUSP00000075034	ENSRNOP00000055299	ENSBTAP00000049676		
ENSGGOP00000025414	ENSP00000350248	ENSPTRP00000060200					ENSGALP00000053296	ENSXETP00000060765
ENSGGOP00000000051	ENSP00000341178		ENSMMUP00000059317	ENSMUSP00000068999	ENSRNOP00000036481	ENSBTAP00000054067	ENSGALP00000052408	
ENSGGOP00000019317	ENSP00000322396	ENSPTRP00000053146	ENSMMUP00000001186	ENSMUSP00000071955	ENSRNOP00000009482	ENSBTAP00000022217	ENSGALP00000048399	
ENSGGOP00000023469				ENSMUSP00000062692	ENSRNOP00000024940			
ENSGGOP00000005559	ENSP00000308908	ENSPTRP00000049179						
ENSGGOP00000019466								
ENSGGOP00000009729		ENSPTRP00000012572						
ENSGGOP00000002256								
ENSGGOP00000021234	ENSP00000485401	ENSPTRP00000001203	ENSMMUP00000005620	ENSMUSP00000077744	ENSRNOP00000016751	ENSBTAP00000012635	ENSGALP00000028012	
ENSGGOP00000020183	ENSP00000386138							ENSXETP00000062428
ENSGGOP00000028333				ENSMUSP00000132093			ENSGALP00000045393	ENSXETP00000026952
ENSGGOP00000021790	ENSP00000457715		ENSMMUP00000048960	ENSMUSP00000075601	ENSRNOP00000065258	ENSBTAP00000052301	ENSGALP00000055404	ENSXETP00000041502
ENSGGOP00000009779	ENSP00000355441			ENSMUSP00000063538	ENSRNOP00000048210		ENSGALP00000053296	ENSXETP00000060765
ENSGGOP00000027516							ENSGALP00000038463	ENSXETP00000010943
ENSGGOP00000010330	ENSP00000485512	ENSPTRP00000036752		ENSMUSP00000055746	ENSRNOP00000066916	ENSBTAP00000023922		ENSXETP00000003086
ENSGGOP00000006419	ENSP00000305640	ENSPTRP00000003736	ENSMMUP00000021257	ENSMUSP00000049454	ENSRNOP00000039235	ENSBTAP00000051853		ENSXETP00000053311
ENSGGOP00000013205	ENSP00000341963	ENSPTRP00000055676		ENSMUSP00000101408		ENSBTAP00000054693	ENSGALP00000045103	
ENSGGOP00000004143	ENSP00000352717	ENSPTRP00000041482	ENSMMUP00000021258	ENSMUSP00000134377	ENSRNOP00000050244			ENSXETP00000055119
ENSGGOP00000001891								
ENSGGOP00000018263			ENSMMUP00000009077	ENSMUSP00000079127	ENSRNOP00000039179		ENSGALP00000041993	ENSXETP00000021590
ENSGGOP00000028033							ENSGALP00000053296	ENSXETP00000060765
ENSGGOP00000012659			ENSMMUP00000059652	ENSMUSP00000100123	ENSRNOP00000071104	ENSBTAP00000042747		ENSXETP00000061544
ENSGGOP00000010478	ENSP00000466907	ENSPTRP00000019808	ENSMMUP00000008912	ENSMUSP00000146921	ENSRNOP00000069116			
ENSGGOP00000027716	ENSP00000375030							ENSXETP00000028742
ENSGGOP00000008485				ENSMUSP00000036949	ENSRNOP00000037097		ENSGALP00000041652	
ENSGGOP00000003156	ENSP00000326301	ENSPTRP00000050956				ENSBTAP00000040034		
ENSGGOP00000001987	ENSP00000341677	ENSPTRP00000049479	ENSMMUP00000002899	ENSMUSP00000025727	ENSRNOP00000059116	ENSBTAP00000014821	ENSGALP00000045156	
ENSGGOP00000028373	ENSP00000318635			ENSMUSP00000115044	ENSRNOP00000044856		ENSGALP00000053235	ENSXETP00000027383
ENSGGOP00000003767	ENSP00000326349	ENSPTRP00000003733				ENSBTAP00000050676		
ENSGGOP00000000243	ENSP00000382884	ENSPTRP00000037175	ENSMMUP00000031205				ENSGALP00000058131	ENSXETP00000047694
ENSGGOP00000013076	ENSP00000333037	ENSPTRP00000026851	ENSMMUP00000028801	ENSMUSP00000048360	ENSRNOP00000038451	ENSBTAP00000017467		
