Ensembl.Protein.ID	Cow.Ensembl.Protein.or.Transcript.ID	Chicken.Ensembl.Protein.or.Transcript.ID	Gorilla.Ensembl.Protein.or.Transcript.ID	Human.Ensembl.Protein.or.Transcript.ID	Macaque.Ensembl.Protein.or.Transcript.ID	Mouse.Ensembl.Protein.or.Transcript.ID	Rat.Ensembl.Protein.or.Transcript.ID	Xenopus.Ensembl.Protein.or.Transcript.ID
ENSPTRP00000052888	ENSBTAP00000027339	ENSGALP00000048532	ENSGGOP00000011805	ENSP00000418770	ENSMMUP00000042092	ENSMUSP00000101299	ENSRNOP00000074942	ENSXETP00000013251
ENSPTRP00000032385	ENSBTAP00000018702	ENSGALP00000017600	ENSGGOP00000010055	ENSP00000398789	ENSMMUP00000035127	ENSMUSP00000038430	ENSRNOP00000069103	ENSXETP00000049307
ENSPTRP00000005542	ENSBTAP00000041501	ENSGALP00000038267	ENSGGOP00000010549	ENSP00000324124		ENSMUSP00000043204	ENSRNOP00000071181	ENSXETP00000006290
ENSPTRP00000046131	ENSBTAP00000055811	ENSGALP00000010737	ENSGGOP00000000221	ENSP00000380530	ENSMMUP00000030450	ENSMUSP00000049414	ENSRNOP00000046497	ENSXETP00000034421
ENSPTRP00000009713	ENSBTAP00000044088	ENSGALP00000027611	ENSGGOP00000012932	ENSP00000371811	ENSMMUP00000014746	ENSMUSP00000022543	ENSRNOP00000015233	ENSXETP00000021160
ENSPTRP00000058859			ENSGGOP00000020242					
ENSPTRP00000023767	ENSBTAP00000025716	ENSGALP00000025263	ENSGGOP00000001523	ENSP00000383044	ENSMMUP00000024673	ENSMUSP00000023580	ENSRNOP00000009911	ENSXETP00000059061
ENSPTRP00000023761	ENSBTAP00000054302	ENSGALP00000042018	ENSGGOP00000011787	ENSP00000383063	ENSMMUP00000031310	ENSMUSP00000112959	ENSRNOP00000002152	ENSXETP00000050037
ENSPTRP00000005552	ENSBTAP00000048343	ENSGALP00000010984	ENSGGOP00000000454	ENSP00000327694	ENSMMUP00000004831	ENSMUSP00000003038	ENSRNOP00000060992	ENSXETP00000056907
ENSPTRP00000053660	ENSBTAP00000004289	ENSGALP00000047817	ENSGGOP00000014134	ENSP00000319417	ENSMMUP00000021758	ENSMUSP00000022536	ENSRNOP00000033626	ENSXETP00000021155
ENSPTRP00000009706	ENSBTAP00000024791	ENSGALP00000027618	ENSGGOP00000014175	ENSP00000481842	ENSMMUP00000013660	ENSMUSP00000120071	ENSRNOP00000014397	ENSXETP00000021163
ENSPTRP00000029169	ENSBTAP00000028751	ENSGALP00000025071	ENSGGOP00000023825	ENSP00000337159	ENSMMUP00000049485	ENSMUSP00000022217	ENSRNOP00000072814	
ENSPTRP00000058004	ENSBTAP00000007076	ENSGALP00000049424	ENSGGOP00000009588	ENSP00000304930	ENSMMUP00000041774	ENSMUSP00000040230	ENSRNOP00000008106	ENSXETP00000049328
ENSPTRP00000005544	ENSBTAP00000025806	ENSGALP00000054049	ENSGGOP00000010554	ENSP00000380553	ENSMMUP00000004826	ENSMUSP00000026585	ENSRNOP00000066775	ENSXETP00000041299
ENSPTRP00000000195	ENSBTAP00000004288		ENSGGOP00000016429	ENSP00000478699	ENSMMUP00000021741	ENSMUSP00000111961	ENSRNOP00000052371	ENSXETP00000059810
ENSPTRP00000044023		ENSGALP00000014811	ENSGGOP00000017212	ENSP00000351856	ENSMMUP00000002415	ENSMUSP00000108449	ENSRNOP00000064010	ENSXETP00000054401
ENSPTRP00000000198	ENSBTAP00000001840	ENSGALP00000055740	ENSGGOP00000014187	ENSP00000418096	ENSMMUP00000028190	ENSMUSP00000036774	ENSRNOP00000024581	ENSXETP00000013235
ENSPTRP00000061185	ENSBTAP00000010107	ENSGALP00000025089	ENSGGOP00000027966	ENSP00000265081	ENSMMUP00000024039	ENSMUSP00000140002	ENSRNOP00000018449	ENSXETP00000049618
ENSPTRP00000029177	ENSBTAP00000010107	ENSGALP00000025089	ENSGGOP00000027966	ENSP00000265081	ENSMMUP00000024039	ENSMUSP00000140002	ENSRNOP00000018449	ENSXETP00000049618
ENSPTRP00000000210	ENSBTAP00000012525		ENSGGOP00000023232	ENSP00000366654	ENSMMUP00000040626	ENSMUSP00000030817	ENSRNOP00000050476	ENSXETP00000026010
ENSPTRP00000049015			ENSGGOP00000019153					
ENSPTRP00000009710	ENSBTAP00000004291	ENSGALP00000054787	ENSGGOP00000014140	ENSP00000310726	ENSMMUP00000021760	ENSMUSP00000022538		
ENSPTRP00000000197	ENSBTAP00000008675	ENSGALP00000000738	ENSGGOP00000006280	ENSP00000366702	ENSMMUP00000045831	ENSMUSP00000030811	ENSRNOP00000072811	ENSXETP00000013244
ENSPTRP00000061327			ENSGGOP00000014009	ENSP00000400880	ENSMMUP00000050861	ENSMUSP00000073107	ENSRNOP00000070218	ENSXETP00000018089
ENSPTRP00000000207	ENSBTAP00000017839	ENSGALP00000057823	ENSGGOP00000010108	ENSP00000234590	ENSMMUP00000015635	ENSMUSP00000079727	ENSRNOP00000064663	ENSXETP00000026002
ENSPTRP00000057383	ENSBTAP00000014936	ENSGALP00000048248	ENSGGOP00000009489	ENSP00000328694	ENSMMUP00000014551	ENSMUSP00000081455	ENSRNOP00000027195	ENSXETP00000045101
ENSPTRP00000034347	ENSBTAP00000020921	ENSGALP00000048793	ENSGGOP00000007141	ENSP00000415491	ENSMMUP00000017114	ENSMUSP00000003561	ENSRNOP00000014441	ENSXETP00000023104
ENSPTRP00000046472	ENSBTAP00000001330	ENSGALP00000032149	ENSGGOP00000005804	ENSP00000404203	ENSMMUP00000044052	ENSMUSP00000022122	ENSRNOP00000069574	
ENSPTRP00000009704	ENSBTAP00000004832	ENSGALP00000027623	ENSGGOP00000000879	ENSP00000255305	ENSMMUP00000036509	ENSMUSP00000133280	ENSRNOP00000013902	
ENSPTRP00000029161	ENSBTAP00000036460	ENSGALP00000023854	ENSGGOP00000026075	ENSP00000339730	ENSMMUP00000004206	ENSMUSP00000022213	ENSRNOP00000074259	ENSXETP00000001084
ENSPTRP00000057370	ENSBTAP00000036460	ENSGALP00000023854	ENSGGOP00000026075	ENSP00000339730	ENSMMUP00000004206	ENSMUSP00000022213	ENSRNOP00000074259	ENSXETP00000001084
ENSPTRP00000005508	ENSBTAP00000056564	ENSGALP00000038233	ENSGGOP00000008153	ENSP00000380697	ENSMMUP00000005367	ENSMUSP00000026571	ENSRNOP00000023504	ENSXETP00000013282
ENSPTRP00000054912	ENSBTAP00000006011	ENSGALP00000052877	ENSGGOP00000000821	ENSP00000302297	ENSMMUP00000047866	ENSMUSP00000046705	ENSRNOP00000015104	
ENSPTRP00000038771	ENSBTAP00000053899	ENSGALP00000026123	ENSGGOP00000028348	ENSP00000353284	ENSMMUP00000060718	ENSMUSP00000088729	ENSRNOP00000075063	ENSXETP00000033769
ENSPTRP00000009697	ENSBTAP00000015575	ENSGALP00000027627	ENSGGOP00000010775	ENSP00000298248	ENSMMUP00000006061	ENSMUSP00000022517	ENSRNOP00000012093	ENSXETP00000005685
ENSPTRP00000034339	ENSBTAP00000016672			ENSP00000316152	ENSMMUP00000054606	ENSMUSP00000022692	ENSRNOP00000015032	ENSXETP00000061407
ENSPTRP00000044105	ENSBTAP00000010998	ENSGALP00000053476	ENSGGOP00000006683	ENSP00000366886	ENSMMUP00000023910	ENSMUSP00000095380	ENSRNOP00000004508	ENSXETP00000024281
ENSPTRP00000044990	ENSBTAP00000053007	ENSGALP00000043412	ENSGGOP00000021176	ENSP00000424707	ENSMMUP00000041808	ENSMUSP00000125314	ENSRNOP00000022376	ENSXETP00000057858
ENSPTRP00000048335	ENSBTAP00000055330		ENSGGOP00000014731	ENSP00000176195		ENSMUSP00000041519	ENSRNOP00000024094	
ENSPTRP00000000180	ENSBTAP00000020441	ENSGALP00000044792	ENSGGOP00000006688	ENSP00000366876	ENSMMUP00000060642	ENSMUSP00000062590	ENSRNOP00000012407	ENSXETP00000024365
ENSPTRP00000048326		ENSGALP00000050916	ENSGGOP00000013582	ENSP00000369513	ENSMMUP00000034373	ENSMUSP00000105168	ENSRNOP00000050073	ENSXETP00000060541
ENSPTRP00000005517		ENSGALP00000052151	ENSGGOP00000026613	ENSP00000176183	ENSMMUP00000003580	ENSMUSP00000026569	ENSRNOP00000024137	ENSXETP00000061434
ENSPTRP00000005519		ENSGALP00000056280	ENSGGOP00000013674	ENSP00000371846	ENSMMUP00000037845	ENSMUSP00000079395	ENSRNOP00000046656	ENSXETP00000061855
ENSPTRP00000000183	ENSBTAP00000014893		ENSGGOP00000006696	ENSP00000054650	ENSMMUP00000002738	ENSMUSP00000035240	ENSRNOP00000052352	
ENSPTRP00000034342	ENSBTAP00000001218		ENSGGOP00000007137	ENSP00000305714	ENSMMUP00000017110	ENSMUSP00000022693	ENSRNOP00000040287	ENSXETP00000023105
ENSPTRP00000045992	ENSBTAP00000018980	ENSGALP00000027626	ENSGGOP00000020209	ENSP00000323580	ENSMMUP00000017567	ENSMUSP00000113768	ENSRNOP00000068425	ENSXETP00000060380
ENSPTRP00000029189	ENSBTAP00000017770	ENSGALP00000025130	ENSGGOP00000025497	ENSP00000296674	ENSMMUP00000055932	ENSMUSP00000054490	ENSRNOP00000050533	ENSXETP00000057856
ENSPTRP00000029187	ENSBTAP00000047797	ENSGALP00000042565	ENSGGOP00000012786	ENSP00000282185	ENSMMUP00000004765	ENSMUSP00000022119	ENSRNOP00000021942	
ENSPTRP00000052895	ENSBTAP00000014899	ENSGALP00000000889	ENSGGOP00000006704	ENSP00000366800	ENSMMUP00000040636	ENSMUSP00000051643	ENSRNOP00000011960	ENSXETP00000024377
ENSPTRP00000000189	ENSBTAP00000053411	ENSGALP00000050108	ENSGGOP00000003521	ENSP00000306522	ENSMMUP00000057651	ENSMUSP00000054804	ENSRNOP00000059056	ENSXETP00000011010
ENSPTRP00000029186	ENSBTAP00000018404	ENSGALP00000036860	ENSGGOP00000026407	ENSP00000483921	ENSMMUP00000023146	ENSMUSP00000004094	ENSRNOP00000021857	ENSXETP00000049621
ENSPTRP00000038776	ENSBTAP00000056061	ENSGALP00000026095		ENSP00000442047	ENSMMUP00000057004	ENSMUSP00000070012		ENSXETP00000010467
ENSPTRP00000058594	ENSBTAP00000056061	ENSGALP00000026095		ENSP00000442047	ENSMMUP00000057004	ENSMUSP00000070012		ENSXETP00000010467
ENSPTRP00000029185	ENSBTAP00000014753	ENSGALP00000025129	ENSGGOP00000009497	ENSP00000303246	ENSMMUP00000027184	ENSMUSP00000022120	ENSRNOP00000075534	ENSXETP00000057851
ENSPTRP00000005520	ENSBTAP00000011892		ENSGGOP00000024631	ENSP00000380646	ENSMMUP00000046838	ENSMUSP00000026578	ENSRNOP00000073571	
ENSPTRP00000032378	ENSBTAP00000017010	ENSGALP00000042370	ENSGGOP00000010885	ENSP00000262067	ENSMMUP00000022433	ENSMUSP00000020896	ENSRNOP00000006752	ENSXETP00000049324
ENSPTRP00000005525	ENSBTAP00000013650	ENSGALP00000050308	ENSGGOP00000010480	ENSP00000321259	ENSMMUP00000009857	ENSMUSP00000026576	ENSRNOP00000024863	ENSXETP00000003511
