ENSP00000489264,20,6,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000390197,44,7,ENSPTRP00000020979,44,7,ENSMMUP00000015078,44,7,ENSGGOP00000001374,44,7,ENSMUSP00000110663,NA,NA,ENSRNOP00000060837,NA,NA,ENSBTAP00000005195,44,7,ENSGALP00000052392,NA,NA,ENSXETP00000002692,NA,NA
ENSP00000452245,28,7,ENSPTRP00000054975,28,7,ENSMMUP00000007263,28,7,NULL,NA,NA,ENSMUSP00000127274,29,5,ENSRNOP00000043003,28,7,ENSBTAP00000026127,28,6,ENSGALP00000031533,NA,NA,NULL,NA,NA
ENSP00000400813,22,5,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000242249,27,5,ENSPTRP00000032739,27,8,ENSMMUP00000041914,NA,NA,ENSGGOP00000007121,NA,NA,ENSMUSP00000047518,26,5,ENSRNOP00000074204,26,5,ENSBTAP00000027593,29,7,ENSGALP00000050055,NA,NA,ENSXETP00000034203,NA,NA
ENSP00000385519,19,6,ENSPTRP00000047976,18,6,ENSMMUP00000013085,19,6,ENSGGOP00000010116,19,6,ENSMUSP00000056669,20,6,ENSRNOP00000023977,NA,NA,ENSBTAP00000020009,22,6,ENSGALP00000052840,NA,NA,ENSXETP00000063358,NA,NA
ENSP00000417128,15,6,ENSPTRP00000052303,15,6,ENSMMUP00000037672,NA,NA,ENSGGOP00000002892,15,6,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000447357,20,6,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000489509,20,6,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000389248,24,5,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000301894,50,7,ENSPTRP00000006621,28,7,ENSMMUP00000029746,29,7,ENSGGOP00000002310,NA,NA,ENSMUSP00000109089,28,5,ENSRNOP00000029449,28,5,ENSBTAP00000000307,26,5,NULL,NA,NA,ENSXETP00000034004,NA,NA
ENSP00000479970,32,6,ENSPTRP00000024164,32,6,ENSMMUP00000037357,32,6,ENSGGOP00000021289,32,6,ENSMUSP00000002976,31,5,ENSRNOP00000014885,31,5,ENSBTAP00000014695,NA,NA,ENSGALP00000055340,NA,NA,NULL,NA,NA
ENSP00000313046,30,8,ENSPTRP00000035283,29,7,ENSMMUP00000026131,30,8,ENSGGOP00000027950,NA,NA,ENSMUSP00000046097,33,8,NULL,NA,NA,ENSBTAP00000008376,27,5,ENSGALP00000045062,NA,NA,ENSXETP00000041517,NA,NA
ENSP00000419451,32,10,ENSPTRP00000050499,32,10,ENSMMUP00000006287,28,6,NULL,NA,NA,ENSMUSP00000106063,NA,NA,ENSRNOP00000056159,NA,NA,ENSBTAP00000042458,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000440322,44,5,ENSPTRP00000007397,NA,NA,ENSMMUP00000059476,NA,NA,ENSGGOP00000009973,NA,NA,ENSMUSP00000124119,47,6,ENSRNOP00000041169,NA,NA,ENSBTAP00000036781,47,6,ENSGALP00000023468,NA,NA,ENSXETP00000033613,NA,NA
ENSP00000379269,26,5,ENSPTRP00000014987,26,5,ENSMMUP00000035182,26,5,ENSGGOP00000003098,26,5,ENSMUSP00000104342,26,5,ENSRNOP00000069909,26,5,ENSBTAP00000025389,26,5,ENSGALP00000050837,NA,NA,ENSXETP00000042337,NA,NA
ENSP00000377281,22,5,ENSPTRP00000006930,22,5,ENSMMUP00000048230,NA,NA,ENSGGOP00000005453,22,5,ENSMUSP00000102598,NA,NA,ENSRNOP00000071311,NA,NA,ENSBTAP00000001053,NA,NA,ENSGALP00000027972,NA,NA,ENSXETP00000051710,NA,NA
ENSP00000408070,31,5,ENSPTRP00000024372,NA,NA,ENSMMUP00000011935,31,5,ENSGGOP00000008871,31,5,ENSMUSP00000000924,35,9,ENSRNOP00000035334,35,9,ENSBTAP00000008025,NA,NA,ENSGALP00000009583,NA,NA,ENSXETP00000048436,NA,NA
ENSP00000303550,22,5,ENSPTRP00000027346,22,5,ENSMMUP00000022244,22,5,ENSGGOP00000006590,22,5,ENSMUSP00000073244,25,5,ENSRNOP00000030763,NA,NA,ENSBTAP00000014829,23,8,ENSGALP00000024170,NA,NA,ENSXETP00000061408,NA,NA
ENSP00000395304,29,6,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000430884,19,6,ENSPTRP00000047976,18,6,ENSMMUP00000013085,19,6,ENSGGOP00000010116,19,6,ENSMUSP00000056669,20,6,ENSRNOP00000023977,NA,NA,ENSBTAP00000020009,22,6,ENSGALP00000052840,NA,NA,ENSXETP00000063358,NA,NA
ENSP00000265016,32,8,ENSPTRP00000053681,NA,NA,ENSMMUP00000020058,NA,NA,ENSGGOP00000026854,36,8,ENSMUSP00000098796,NA,NA,ENSRNOP00000004094,NA,NA,ENSBTAP00000008097,25,6,ENSGALP00000041878,NA,NA,ENSXETP00000058653,NA,NA
ENSP00000423470,29,8,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,ENSMUSP00000111325,NA,NA,ENSRNOP00000067199,NA,NA,NULL,NA,NA,ENSGALP00000054137,NA,NA,ENSXETP00000056872,NA,NA
ENSP00000445282,19,5,ENSPTRP00000029749,19,5,ENSMMUP00000015165,19,5,ENSGGOP00000008739,19,5,ENSMUSP00000110923,NA,NA,ENSRNOP00000040411,NA,NA,ENSBTAP00000016977,NA,NA,ENSGALP00000009176,25,6,ENSXETP00000061910,NA,NA
ENSP00000419356,19,6,NULL,NA,NA,ENSMMUP00000059207,NA,NA,ENSGGOP00000024094,19,6,ENSMUSP00000025338,19,5,ENSRNOP00000047788,19,5,ENSBTAP00000022907,19,6,NULL,NA,NA,ENSXETP00000043889,NA,NA
ENSP00000397769,20,6,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000452896,31,7,ENSPTRP00000054568,NA,NA,ENSMMUP00000033376,18,5,ENSGGOP00000010196,NA,NA,ENSMUSP00000034851,NA,NA,ENSRNOP00000019307,NA,NA,ENSBTAP00000004070,NA,NA,ENSGALP00000004750,NA,NA,ENSXETP00000062743,NA,NA
ENSP00000387786,21,5,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000372566,22,5,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000417663,19,6,NULL,NA,NA,ENSMMUP00000059207,NA,NA,ENSGGOP00000024094,19,6,ENSMUSP00000025338,19,5,ENSRNOP00000047788,19,5,ENSBTAP00000022907,19,6,NULL,NA,NA,ENSXETP00000043889,NA,NA
ENSP00000332223,24,5,ENSPTRP00000056512,24,5,ENSMMUP00000043664,NA,NA,ENSGGOP00000007930,NA,NA,ENSMUSP00000024042,22,5,ENSRNOP00000006357,22,6,ENSBTAP00000054551,21,6,ENSGALP00000013913,31,7,ENSXETP00000031785,NA,NA
ENSP00000357910,24,8,ENSPTRP00000002167,24,8,ENSMMUP00000010045,24,8,ENSGGOP00000021928,24,8,ENSMUSP00000088333,25,8,ENSRNOP00000050221,23,7,ENSBTAP00000009575,23,7,NULL,NA,NA,ENSXETP00000012836,NA,NA
ENSP00000400458,21,5,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000454227,33,5,ENSPTRP00000014105,35,5,ENSMMUP00000057307,NA,NA,ENSGGOP00000001537,33,5,ENSMUSP00000034377,NA,NA,ENSRNOP00000026996,NA,NA,ENSBTAP00000009888,NA,NA,ENSGALP00000056433,NA,NA,ENSXETP00000012787,NA,NA
ENSP00000388133,21,5,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000440962,26,6,ENSPTRP00000007940,26,6,ENSMMUP00000023466,27,7,ENSGGOP00000010481,26,6,ENSMUSP00000108229,27,7,ENSRNOP00000069840,27,7,ENSBTAP00000024233,24,6,ENSGALP00000050547,NA,NA,ENSXETP00000052276,NA,NA
ENSP00000365412,24,5,ENSPTRP00000054564,NA,NA,NULL,NA,NA,ENSGGOP00000023616,24,5,ENSMUSP00000040435,20,5,ENSRNOP00000001035,NA,NA,ENSBTAP00000035741,23,5,ENSGALP00000058295,NA,NA,ENSXETP00000038903,NA,NA
ENSP00000369705,23,7,ENSPTRP00000052437,24,7,ENSMMUP00000007749,24,5,ENSGGOP00000004982,23,8,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000400010,35,6,ENSPTRP00000006218,35,6,ENSMMUP00000007719,NA,NA,ENSGGOP00000014455,NA,NA,ENSMUSP00000129592,NA,NA,ENSRNOP00000070464,NA,NA,ENSBTAP00000034314,NA,NA,ENSGALP00000010295,NA,NA,ENSXETP00000016881,NA,NA
ENSP00000351977,21,5,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
ENSP00000485931,26,5,ENSPTRP00000048086,26,5,ENSMMUP00000006270,26,5,ENSGGOP00000027336,NA,NA,ENSMUSP00000003572,NA,NA,ENSRNOP00000014780,NA,NA,ENSBTAP00000025254,NA,NA,ENSGALP00000009121,NA,NA,ENSXETP00000040008,NA,NA
ENSP00000375881,22,7,ENSPTRP00000022287,21,6,ENSMMUP00000009167,20,5,NULL,NA,NA,ENSMUSP00000027455,NA,NA,ENSRNOP00000026190,20,5,ENSBTAP00000040934,NA,NA,ENSGALP00000012662,NA,NA,ENSXETP00000049273,NA,NA
ENSP00000394919,26,5,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA,NULL,NA,NA
