Ensembl.Protein.ID	Cow.Ensembl.Protein.or.Transcript.ID	Chicken.Ensembl.Protein.or.Transcript.ID	Gorilla.Ensembl.Protein.or.Transcript.ID	Human.Ensembl.Protein.or.Transcript.ID	Macaque.Ensembl.Protein.or.Transcript.ID	Mouse.Ensembl.Protein.or.Transcript.ID	Chimpanzee.Ensembl.Protein.or.Transcript.ID	Rat.Ensembl.Protein.or.Transcript.ID
ENSXETP00000048388	ENSBTAP00000036271	ENSGALP00000049999	ENSGGOP00000020001	ENSP00000259407		ENSMUSP00000092702	ENSPTRP00000049134	ENSRNOP00000069269
ENSXETP00000055707								
ENSXETP00000018365	ENSBTAP00000000490	ENSGALP00000056457	ENSGGOP00000026307	ENSP00000229314	ENSMMUP00000014233	ENSMUSP00000032372	ENSPTRP00000008124	ENSRNOP00000070214
ENSXETP00000024182								
ENSXETP00000042744								
ENSXETP00000063722	ENSBTAP00000014115			ENSP00000357080	ENSMMUP00000014883	ENSMUSP00000058008	ENSPTRP00000002579	ENSRNOP00000011539
ENSXETP00000057221	ENSBTAP00000025719	ENSGALP00000026919	ENSGGOP00000026957	ENSP00000274793	ENSMMUP00000025300	ENSMUSP00000024706	ENSPTRP00000043561	ENSRNOP00000031958
ENSXETP00000058307	ENSBTAP00000010644	ENSGALP00000001274	ENSGGOP00000025276	ENSP00000397261	ENSMMUP00000051365	ENSMUSP00000088358	ENSPTRP00000002193	ENSRNOP00000064790
ENSXETP00000044773	ENSBTAP00000010644	ENSGALP00000001274	ENSGGOP00000025276	ENSP00000397261	ENSMMUP00000051365	ENSMUSP00000088358	ENSPTRP00000002193	ENSRNOP00000064790
ENSXETP00000002577	ENSBTAP00000021846	ENSGALP00000010695	ENSGGOP00000020828	ENSP00000278980	ENSMMUP00000043454	ENSMUSP00000071752	ENSPTRP00000039046	ENSRNOP00000014038
ENSXETP00000044073								
ENSXETP00000044222								
ENSXETP00000059886	ENSBTAP00000017983	ENSGALP00000051900	ENSGGOP00000000034	ENSP00000446100	ENSMMUP00000048660	ENSMUSP00000130264	ENSPTRP00000053392	ENSRNOP00000017940
								
ENSXETP00000060559								
ENSXETP00000061687								ENSRNOP00000071010
ENSXETP00000000657	ENSBTAP00000018234	ENSGALP00000013841	ENSGGOP00000010723	ENSP00000253686	ENSMMUP00000006825	ENSMUSP00000114402	ENSPTRP00000025285	ENSRNOP00000014933
ENSXETP00000039112	ENSBTAP00000012406	ENSGALP00000021874	ENSGGOP00000013869	ENSP00000476795	ENSMMUP00000019699	ENSMUSP00000070168	ENSPTRP00000053394	ENSRNOP00000016963
ENSXETP00000014984	ENSBTAP00000033789	ENSGALP00000051191	ENSGGOP00000010319	ENSP00000271715	ENSMMUP00000052937	ENSMUSP00000102891	ENSPTRP00000002195	ENSRNOP00000070527
ENSXETP00000044778	ENSBTAP00000033789	ENSGALP00000051191	ENSGGOP00000010319	ENSP00000271715	ENSMMUP00000052937	ENSMUSP00000102891	ENSPTRP00000002195	ENSRNOP00000070527
ENSXETP00000023533	ENSBTAP00000035964	ENSGALP00000016461	ENSGGOP00000002237	ENSP00000287218	ENSMMUP00000002183	ENSMUSP00000063158	ENSPTRP00000050186	ENSRNOP00000069304
ENSXETP00000059623	ENSBTAP00000035964	ENSGALP00000016461	ENSGGOP00000002237	ENSP00000287218	ENSMMUP00000002183	ENSMUSP00000063158	ENSPTRP00000050186	ENSRNOP00000069304
ENSXETP00000028820	ENSBTAP00000044193		ENSGGOP00000023723	ENSP00000339933	ENSMMUP00000030466	ENSMUSP00000035417	ENSPTRP00000056053	ENSRNOP00000027700
ENSXETP00000011017								ENSRNOP00000050193
ENSXETP00000023529	ENSBTAP00000000688	ENSGALP00000037396	ENSGGOP00000002243	ENSP00000418751	ENSMMUP00000033751	ENSMUSP00000127300	ENSPTRP00000050185	ENSRNOP00000000649
ENSXETP00000058784								
ENSXETP00000061594								
ENSXETP00000037957								
ENSXETP00000061158	ENSBTAP00000053273	ENSGALP00000048364	ENSGGOP00000021158		ENSMMUP00000004885	ENSMUSP00000095977		ENSRNOP00000064630
ENSXETP00000012526								
ENSXETP00000000399	ENSBTAP00000011039	ENSGALP00000048390	ENSGGOP00000000229	ENSP00000319531	ENSMMUP00000017189	ENSMUSP00000037131	ENSPTRP00000014317	ENSRNOP00000070818
ENSXETP00000061445								
ENSXETP00000058419								
ENSXETP00000059464								
ENSXETP00000059585								
ENSXETP00000044780	ENSBTAP00000023352	ENSGALP00000001352	ENSGGOP00000007787	ENSP00000271636	ENSMMUP00000027997	ENSMUSP00000102894	ENSPTRP00000039353	ENSRNOP00000028440
ENSXETP00000061770	ENSBTAP00000023352	ENSGALP00000001352	ENSGGOP00000007787	ENSP00000271636	ENSMMUP00000027997	ENSMUSP00000102894	ENSPTRP00000039353	ENSRNOP00000028440
ENSXETP00000012527	ENSBTAP00000014277		ENSGGOP00000018402	ENSP00000274849	ENSMMUP00000009072	ENSMUSP00000045888	ENSPTRP00000030427	ENSRNOP00000023648
ENSXETP00000058562								
ENSXETP00000028619								
ENSXETP00000002473								
ENSXETP00000009341								
ENSXETP00000010418								
ENSXETP00000003363								
ENSXETP00000061817	ENSBTAP00000016884	ENSGALP00000016450	ENSGGOP00000020410	ENSP00000362463	ENSMMUP00000042780	ENSMUSP00000024823	ENSPTRP00000030963	ENSRNOP00000000650
ENSXETP00000023525	ENSBTAP00000016884	ENSGALP00000016450	ENSGGOP00000020410	ENSP00000362463	ENSMMUP00000042780	ENSMUSP00000024823	ENSPTRP00000030963	ENSRNOP00000000650
ENSXETP00000060250								ENSRNOP00000045818
ENSXETP00000063395								
ENSXETP00000019236								
ENSXETP00000059295								
ENSXETP00000000377	ENSBTAP00000044609	ENSGALP00000009912	ENSGGOP00000023038	ENSP00000338673	ENSMMUP00000003366	ENSMUSP00000045527	ENSPTRP00000014478	ENSRNOP00000059465
ENSXETP00000060990	ENSBTAP00000041859		ENSGGOP00000012482	ENSP00000264717	ENSMMUP00000006765	ENSMUSP00000072084	ENSPTRP00000020223	ENSRNOP00000064260
ENSXETP00000063341								ENSRNOP00000045818
ENSXETP00000058461								
ENSXETP00000062278								
ENSXETP00000032796	ENSBTAP00000042875		ENSGGOP00000013787	ENSP00000378917	ENSMMUP00000004396	ENSMUSP00000035415	ENSPTRP00000053641	ENSRNOP00000070616
ENSXETP00000032798	ENSBTAP00000042875		ENSGGOP00000013787	ENSP00000378917	ENSMMUP00000004396	ENSMUSP00000035415	ENSPTRP00000053641	ENSRNOP00000070616
ENSXETP00000060071	ENSBTAP00000023987	ENSGALP00000052312	ENSGGOP00000001216	ENSP00000349723	ENSMMUP00000004346	ENSMUSP00000068258	ENSPTRP00000052505	ENSRNOP00000007602
ENSXETP00000024969	ENSBTAP00000023987	ENSGALP00000052312	ENSGGOP00000001216	ENSP00000349723	ENSMMUP00000004346	ENSMUSP00000068258	ENSPTRP00000052505	ENSRNOP00000007602
ENSXETP00000059016								
ENSXETP00000062313	ENSBTAP00000024364	ENSGALP00000050207	ENSGGOP00000010890	ENSP00000327436	ENSMMUP00000001602	ENSMUSP00000066413	ENSPTRP00000011435	ENSRNOP00000009121
ENSXETP00000024971	ENSBTAP00000024364	ENSGALP00000050207	ENSGGOP00000010890	ENSP00000327436	ENSMMUP00000001602	ENSMUSP00000066413	ENSPTRP00000011435	ENSRNOP00000009121
ENSXETP00000060578								
ENSXETP00000063629								
ENSXETP00000055041	ENSBTAP00000049141	ENSGALP00000025820	ENSGGOP00000003743	ENSP00000477437	ENSMMUP00000035638	ENSMUSP00000097108	ENSPTRP00000057478	ENSRNOP00000059308
ENSXETP00000011852								
ENSXETP00000060860								ENSRNOP00000045818
ENSXETP00000058482								ENSRNOP00000009859
ENSXETP00000061768	ENSBTAP00000023407		ENSGGOP00000024731	ENSP00000357564	ENSMMUP00000023149	ENSMUSP00000070588	ENSPTRP00000002305	ENSRNOP00000071741
